,x,y,z
0,0.13276295892211268,0,0
1,0.17626003261754578,0,0
2,0.23400803470013468,0,0
3,0.310675990983383,0,0
4,0.41246263829013513,0,0
5,0.5475976030421943,0,0
6,0.727006780785382,0,0
7,0.9651957137350704,0,0
8,1.2814223889440834,285,285
9,1.7012542798525883,0,285
10,2.2586355207213757,262,547
11,2.9986313485755653,0,547
12,3.9810717055349714,278,825
13,5.285388593079245,531,1356
14,7.017038286703826,570,1926
15,9.316027658125519,376,2302
16,12.368233972929833,371,2673
17,16.42043338887162,394,3067
18,21.8002532349005,482,3549
19,28.94266124716749,726,4275
20,38.425133462543194,661,4936
21,51.0143441546432,819,5755
22,67.72815277441413,638,6393
23,89.91789964660114,600,6993
24,119.37766417144357,634,7627
25,158.48931924611125,502,8129
26,210.4151098066507,578,8707
27,279.35332579852195,559,9266
28,370.87774117744726,449,9715
29,492.38826317067367,454,10169
30,653.7092275705855,354,10523
31,867.8837132695965,295,10818
32,1152.2280977398204,166,10984
33,1529.7321160913566,95,11079
34,2030.9176209047348,54,11133
35,2696.3063267836983,35,11168
36,3579.69606104217,16,11184
37,4752.510411057897,9,11193
38,6309.57344480193,4,11197
